Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
10561,204.0,0,1,0,1,5,128.0,1984.0,3,2023,Volkswagen,Hatchback,Cloth interior,27849,/car/69849068/volkswagen-polo-gti-dsg-152-kw
10,237.0,0,0,1,1,5,265.0,2993.0,3,2024,Ford,Pick-up,Full leather interior,60199,/car/69849045/ford-ranger-wildtrak-177-kw
0,114.0,0,1,0,1,5,116.0,999.0,1,2024,Škoda,Hatchback,Cloth interior,25399,/car/69848740/skoda-scala-monte-carlo-85-kw
10,138.0,0,1,0,1,5,29.0,1482.0,1,2024,Kia,SUV / offroad,Part leather interior,27549,/car/69848585/kia-xceed-103-kw
19,109.0,1,0,0,1,3,181.0,1997.0,1,2024,Renault,Cargo VAN,Cloth interior,32049,/car/69848437/renault-trafic-dci-81-kw
10,148.0,0,1,0,1,5,116.0,1498.0,1,2024,Škoda,SUV / offroad,Cloth interior,32099,/car/69848380/skoda-kamiq-1-5-tsi-dsg-monte-carlo-110-kw
2,129.0,1,0,0,0,3,167.0,1995.0,1,2023,Ford,Cargo VAN,Cloth interior,38649,/car/69848279/ford-transit-l3h2-trend-96-kw
1500,148.0,0,0,0,1,5,123.0,1968.0,1,2023,Seat,SUV / offroad,Cloth interior,38249,/car/69848127/seat-ateca-2-0-tdi-dsg-fr-110-kw
10,329.0,0,1,1,1,5,165.0,1984.0,3,2024,Volkswagen,Hatchback,Cloth interior,47699,/car/69848126/volkswagen-golf-r-4motion-dsg-245-kw
20,296.0,0,1,1,1,5,175.0,1984.0,3,2024,Cupra,SUV / offroad,Cloth interior,44849,/car/69848098/cupra-ateca-2-0-tsi-dsg-4drive-221-kw
0,148.0,0,1,0,1,5,133.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,43949,/car/69848014/volkswagen-tiguan-1-5-tsi-dsg-110-kw
15,148.0,0,1,0,1,5,118.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,30799,/car/69847918/volkswagen-t-cross-1-5-tsi-dsg-110-kw
15,118.0,0,1,0,1,5,111.0,998.0,1,2023,Hyundai,SUV / offroad,Full leather interior,30999,/car/69847841/hyundai-kona-1-0-t-gdi-n-line-88-kw
10,282.0,0,0,1,1,5,184.0,2967.0,1,2024,Volkswagen,SUV / offroad,Full leather interior,80799,/car/69847536/volkswagen-touareg-3-0-tdi-4motion-210-kw
20,148.0,0,1,0,1,5,116.0,1498.0,1,2024,Škoda,Hatchback,Cloth interior,31949,/car/69847020/skoda-scala-1-5-tsi-monte-carlo-dsg-110-kw
15,99.0,1,1,0,1,5,114.0,999.0,3,2023,Ford,Hatchback,Cloth interior,20449,/car/69846894/ford-fiesta-1-0-ecoboost-s-s-titanium-74-kw
34232,99.0,1,0,0,1,2,112.0,1498.0,2,2023,Ford,Cargo VAN,Other interior material,16699,/car/69846890/ford-transit-courier-s-s-trend-74-kw
146000,103.0,1,0,0,1,5,167.0,1995.0,1,2022,Ford,Cargo VAN,Cloth interior,19399,/car/69846763/ford-transit-custom-l2h1-2-0-tdci-77-kw
10,261.0,0,1,0,1,5,151.0,1984.0,3,2024,Volkswagen,Hatchback,Cloth interior,44549,/car/69846688/volkswagen-golf-dsg-195-kw
